id,onset_s,offset_s,duration_s,kind,word,category,condition,question,section
A-000,0,10,10,instruction,,,,,
A-001,10,20,10,instruction,,,,,
A-002,20,30,10,instruction,,,,,
A-003,30,90,60,baseline,,,,,
A-004,90,92,2,word,desk,neutral,,,
A-005,92,100,8,word_interval,,,,,
A-006,100,102,2,word,hope,positive,,,
A-007,102,110,8,word_interval,,,,,
A-008,110,112,2,word,fear,negative,,,
A-009,112,120,8,word_interval,,,,,
A-010,120,122,2,word,fork,neutral,,,
A-011,122,130,8,word_interval,,,,,
A-012,130,132,2,word,love,positive,,,
A-013,132,140,8,word_interval,,,,,
A-014,140,142,2,word,loss,negative,,,
A-015,142,150,8,word_interval,,,,,
A-016,150,152,2,word,tile,neutral,,,
A-017,152,160,8,word_interval,,,,,
A-018,160,162,2,word,safe,positive,,,
A-019,162,170,8,word_interval,,,,,
A-020,170,172,2,word,pain,negative,,,
A-021,172,180,8,word_interval,,,,,
A-022,180,182,2,word,gate,neutral,,,
A-023,182,190,8,word_interval,,,,,
A-024,190,192,2,word,calm,positive,,,
A-025,192,200,8,word_interval,,,,,
A-026,200,202,2,word,hate,negative,,,
A-027,202,210,8,word_interval,,,,,
A-028,210,215,5,rating,,,,pleasantness,words
A-029,215,220,5,rating,,,,arousal,words
A-030,220,225,5,rating,,,,discomfort,words
A-031,225,270,45,recovery,,,,,words
A-032,270,315,45,audiovisual,,,ordered,,
A-033,315,345,30,recovery,,,,,ordered
A-034,345,350,5,rating,,,,pleasantness,ordered
A-035,350,355,5,rating,,,,arousal,ordered
A-036,355,360,5,rating,,,,discomfort,ordered
A-037,360,405,45,audiovisual,,,regular,,
A-038,405,435,30,recovery,,,,,regular
A-039,435,440,5,rating,,,,pleasantness,regular
A-040,440,445,5,rating,,,,arousal,regular
A-041,445,450,5,rating,,,,discomfort,regular
A-042,450,495,45,audiovisual,,,irregular,,
A-043,495,525,30,recovery,,,,,irregular
A-044,525,530,5,rating,,,,pleasantness,irregular
A-045,530,535,5,rating,,,,arousal,irregular
A-046,535,540,5,rating,,,,discomfort,irregular
A-047,540,585,45,final_observation,,,,,
A-048,585,590,5,rating,,,,pleasantness,final quiet observation
A-049,590,595,5,rating,,,,arousal,final quiet observation
A-050,595,600,5,rating,,,,discomfort,final quiet observation
