id,onset_s,offset_s,duration_s,kind,word,category,condition,question,section
B-000,0,10,10,instruction,,,,,
B-001,10,20,10,instruction,,,,,
B-002,20,30,10,instruction,,,,,
B-003,30,90,60,baseline,,,,,
B-004,90,92,2,word,hate,negative,,,
B-005,92,100,8,word_interval,,,,,
B-006,100,102,2,word,calm,positive,,,
B-007,102,110,8,word_interval,,,,,
B-008,110,112,2,word,gate,neutral,,,
B-009,112,120,8,word_interval,,,,,
B-010,120,122,2,word,pain,negative,,,
B-011,122,130,8,word_interval,,,,,
B-012,130,132,2,word,safe,positive,,,
B-013,132,140,8,word_interval,,,,,
B-014,140,142,2,word,tile,neutral,,,
B-015,142,150,8,word_interval,,,,,
B-016,150,152,2,word,loss,negative,,,
B-017,152,160,8,word_interval,,,,,
B-018,160,162,2,word,love,positive,,,
B-019,162,170,8,word_interval,,,,,
B-020,170,172,2,word,fork,neutral,,,
B-021,172,180,8,word_interval,,,,,
B-022,180,182,2,word,fear,negative,,,
B-023,182,190,8,word_interval,,,,,
B-024,190,192,2,word,hope,positive,,,
B-025,192,200,8,word_interval,,,,,
B-026,200,202,2,word,desk,neutral,,,
B-027,202,210,8,word_interval,,,,,
B-028,210,215,5,rating,,,,pleasantness,words
B-029,215,220,5,rating,,,,arousal,words
B-030,220,225,5,rating,,,,discomfort,words
B-031,225,270,45,recovery,,,,,words
B-032,270,315,45,audiovisual,,,irregular,,
B-033,315,345,30,recovery,,,,,irregular
B-034,345,350,5,rating,,,,pleasantness,irregular
B-035,350,355,5,rating,,,,arousal,irregular
B-036,355,360,5,rating,,,,discomfort,irregular
B-037,360,405,45,audiovisual,,,regular,,
B-038,405,435,30,recovery,,,,,regular
B-039,435,440,5,rating,,,,pleasantness,regular
B-040,440,445,5,rating,,,,arousal,regular
B-041,445,450,5,rating,,,,discomfort,regular
B-042,450,495,45,audiovisual,,,ordered,,
B-043,495,525,30,recovery,,,,,ordered
B-044,525,530,5,rating,,,,pleasantness,ordered
B-045,530,535,5,rating,,,,arousal,ordered
B-046,535,540,5,rating,,,,discomfort,ordered
B-047,540,585,45,final_observation,,,,,
B-048,585,590,5,rating,,,,pleasantness,final quiet observation
B-049,590,595,5,rating,,,,arousal,final quiet observation
B-050,595,600,5,rating,,,,discomfort,final quiet observation
