xID,yID,Div,Size0,Size4,Size12
77,1424,0,641,1050,1039
77,2539,0,494,641,623
106,1488,0,723,1152,1171
148,2447,0,585,871,883
148,1610,0,524,776,759
202,2858,0,579,805,836
213,734,0,604,888,974
232,2928,0,600,935,1002
237,2087,0,439,788,697
244,2145,0,851,1344,1342
327,2179,0,458,765,776
346,549,0,469,740,730
353,2796,0,698,917,965
377,1120,0,638,1048,1058
379,1703,0,468,740,710
386,505,0,493,768,913
400,1225,0,727,1363,1384
397,1888,0,509,802,836
432,1451,0,574,744,758
442,454,0,701,1093,1195
463,77,0,712,1107,1158
467,2408,0,508,823,794
510,374,0,745,1177,1221
524,2642,0,545,826,863
549,1433,0,546,924,991
555,2307,0,569,913,1090
573,1589,0,716,1181,1211
575,153,0,741,1098,1195
586,2410,0,542,889,882
607,2979,0,477,736,755
621,1127,0,561,864,912
632,2569,0,426,720,742
650,2198,0,665,1083,1174
675,2366,0,507,566,614
694,1447,0,834,1257,1336
716,596,0,787,1298,1302
726,889,0,706,1109,1296
730,1401,0,607,979,1040
749,2445,0,603,750,815
747,318,0,634,993,1022
760,2744,0,474,815,845
766,1262,0,429,736,739
787,1969,0,558,1066,1152
844,1019,0,491,811,881
845,860,0,401,620,675
894,704,0,556,601,628
904,2815,0,619,782,851
904,3064,0,486,849,960
921,802,0,722,1291,1382
967,1833,0,555,1018,1040
985,855,0,442,877,855
994,1591,0,471,767,827
1021,2787,0,607,874,897
1024,1082,0,573,1048,1080
1036,3029,0,432,799,815
1048,1152,0,667,1139,1178
1077,654,0,622,1045,1171
1098,2381,0,490,821,840
1106,1093,0,670,1030,1100
1107,2201,0,609,998,1066
1127,669,0,604,901,993
1136,2648,0,625,1039,1113
1242,316,0,622,1036,1130
1246,1880,0,683,1143,1218
1255,82,0,581,732,717
1259,1130,0,643,1053,1153
1258,2405,0,473,639,589
1261,2003,0,410,636,688
1265,1781,0,614,1067,1095
1290,304,0,466,713,776
1304,1266,0,591,1012,1104
1341,2624,0,438,642,662
1349,2467,0,688,1171,1272
1353,223,0,640,998,1018
1359,2872,0,506,557,569
1428,1058,0,507,737,766
1437,144,0,487,885,901
1447,714,0,449,701,739
1448,2748,0,487,834,928
1469,1152,0,995,1454,1677
1467,3053,0,464,702,720
1481,941,0,497,777,868
1491,113,0,754,1242,1258
1490,819,0,701,1138,1219
1494,2520,0,416,757,761
1519,773,0,496,881,919
1521,1762,0,574,953,1025
1587,1901,0,654,866,879
1595,2798,0,407,656,680
1599,546,0,438,822,910
1618,2392,0,553,878,886
1641,1114,0,617,1041,1122
1684,1677,0,395,528,621
1697,2341,0,484,810,737
1703,2080,0,476,659,720
1706,2640,0,553,625,625
1716,2806,0,500,859,925
1741,1955,0,631,924,952
1760,2280,0,535,861,923
1775,1749,0,736,1133,1113
1798,1970,0,664,1081,1137
1818,2744,0,534,883,956
1819,908,0,526,860,944
1852,1179,0,474,725,760
1883,466,0,637,996,1080
