xID,yID,Div,Size0,Size4,Size30
147,2073,0,509,668,916
174,1077,0,571,722,928
222,882,0,559,616,933
227,1328,0,500,558,851
285,1475,2,549,825,-1
312,1877,0,516,659,909
348,1497,0,795,867,1087
352,1679,0,562,769,1001
451,952,0,410,698,1066
557,187,2,602,910,-1
648,445,2,622,943,-1
759,1657,0,386,568,701
778,2791,0,552,644,871
782,1294,0,494,813,1000
801,2436,0,538,782,913
871,3023,0,506,653,878
881,372,0,603,917,1149
878,444,1,485,757,-1
915,1317,1,524,616,-1
918,517,0,490,726,932
935,1808,0,399,587,693
962,2697,0,456,655,744
969,1461,1,356,510,-1
1002,1429,0,543,788,913
1057,77,0,493,629,893
1090,684,0,577,838,997
1149,1879,1,539,703,-1
1195,112,0,620,879,1039
1240,520,2,548,880,-1
1251,2988,0,372,529,653
1295,1956,0,439,665,1046
1326,2942,0,591,891,1097
1440,1078,0,551,768,948
1504,1266,0,465,749,851
1524,357,0,504,747,857
1544,114,2,620,934,-1
1549,296,0,442,616,763
1603,2955,0,293,526,680
1612,1010,0,326,482,577
1616,1827,0,454,789,909
1635,1220,0,401,664,857
1633,1923,0,380,634,827
1672,413,1,373,622,-1
1680,3026,0,416,535,651
1688,1813,1,447,721,-1
1735,379,0,298,456,588
1857,2928,0,623,1087,1173
1883,1759,0,440,648,742
1909,1118,0,419,732,809
1911,563,0,342,481,611
1928,2457,0,424,742,805
1944,1337,0,513,764,846
1990,512,0,470,683,820
2047,700,1,427,687,-1
2051,1544,0,460,651,888
2058,1052,2,455,798,-1
2079,2628,2,513,820,-1
2103,765,0,387,556,644
2123,2751,0,476,720,838
2240,77,0,369,539,657
2278,1934,2,542,986,-1
2283,1092,0,341,604,698
2335,2960,2,500,855,-1
2357,2708,0,282,462,507
2360,1633,0,494,857,903
2386,1015,0,370,547,800
2409,1254,2,544,975,-1
2429,3012,0,382,529,657
2457,1447,0,349,515,715
2466,1568,2,518,850,-1
2517,585,0,360,576,600
2544,2033,0,464,706,792
2578,348,0,411,594,849
2585,513,2,432,724,-1
2595,3019,2,576,1007,-1
2674,2975,0,415,689,896
2681,2083,0,302,486,748
2686,77,0,460,766,866
2692,1551,0,409,636,750
2707,986,0,393,644,747
2714,2015,0,464,763,806
2727,2832,0,356,510,580
2733,77,0,460,767,866
2732,1811,2,444,721,-1
2748,2321,2,586,975,-1
2765,169,2,500,855,-1
2771,1950,2,412,667,-1
2794,1637,0,568,868,938
2822,2637,0,515,678,923
2823,1824,0,463,671,856
2828,1923,0,595,976,1142
2882,1737,0,351,549,722
2890,2108,1,459,726,-1
2942,950,0,547,894,972
2949,462,0,535,836,970
2981,568,0,424,600,667
2993,886,0,452,678,779
3003,110,0,386,620,822
3036,930,1,408,686,-1
3061,123,0,632,1049,1174
3072,2841,0,454,830,918
3101,2648,0,385,578,800
3117,212,0,507,884,1040
3131,428,0,490,805,968
3147,541,1,430,691,-1
3179,1139,2,574,1015,-1
3269,2717,2,601,1018,-1
3285,470,2,588,966,-1
3297,1354,0,444,694,725
3307,1119,0,418,646,947
3314,934,2,382,549,-1
3336,680,1,367,680,-1
3370,846,0,449,847,949
3381,217,1,613,754,-1
3382,77,2,592,1058,-1
3391,1627,2,692,1227,-1
3393,2881,2,437,697,-1
3406,897,1,421,709,-1
3414,1255,0,367,531,552
3412,1754,0,405,625,834
3414,127,0,386,661,627
3473,1859,1,381,647,-1
3480,873,0,407,649,739
3498,387,0,376,613,682
3510,608,0,365,584,817
3515,1515,2,526,857,-1
3522,717,0,457,636,738
3555,3020,1,447,650,-1
3563,1004,1,428,635,-1
3579,471,2,518,870,-1
3582,1453,2,594,1024,-1
3584,132,1,506,826,-1
3606,2597,0,526,784,909
3642,2402,2,582,1007,-1
3647,674,0,482,893,1024
77,934,0,569,889,1110
96,1178,0,432,655,902
125,676,2,468,768,-1
201,527,0,428,624,724
222,192,0,407,612,990
287,2583,0,416,634,897
338,2714,2,556,851,-1
339,2452,0,386,548,828
347,2337,0,525,855,1060
375,1129,2,495,822,-1
395,964,0,527,573,896
403,1181,0,500,824,998
460,2559,0,424,663,891
466,2637,2,596,915,-1
492,2726,0,539,803,1055
557,1612,0,322,303,462
565,2505,2,521,835,-1
616,2436,2,424,722,-1
635,2696,0,464,729,1014
706,2437,0,465,711,956
724,2668,2,482,766,-1
783,475,1,448,725,-1
786,296,0,500,718,887
823,2368,0,454,764,1003
857,1693,0,616,770,933
872,2764,0,456,696,1003
894,2551,0,441,614,934
902,2645,0,369,525,724
968,323,0,455,683,852
1019,2550,0,497,743,829
1103,1400,1,444,767,-1
1112,1258,0,386,695,825
1125,1026,0,510,801,1052
1204,2114,1,449,629,-1
1255,545,1,598,813,-1
1342,1823,0,399,567,747
1356,1999,0,494,810,987
1446,1300,0,400,623,764
1487,2374,0,566,894,1050
1499,2118,0,397,563,703
1545,2367,0,410,544,812
1695,1081,0,406,606,835
1734,2698,0,631,1121,1328
1782,1031,2,537,790,-1
1797,77,0,435,757,974
1837,1899,0,458,686,859
1853,1174,0,436,690,845
2089,2363,0,449,611,827
2141,347,1,443,806,-1
2295,1825,0,455,702,879
2338,222,0,391,618,629
2389,1541,0,359,577,810
2405,318,1,670,969,-1
2469,1735,0,428,491,654
2490,1123,0,464,690,814
2678,1177,2,483,772,-1
2783,941,2,443,734,-1
2865,2393,0,480,745,901
2918,2470,0,397,633,758
2977,1748,1,393,561,-1
3051,709,0,482,823,1001
3193,1302,0,361,519,597
3251,1465,0,381,693,816
3253,2181,0,406,661,743
3348,2159,2,612,1140,-1
77,799,0,551,751,970
