xID,yID,Div0,Div6,Div12,Div18,Div24,Div30,Div36,Div48,Size0,Size6,Size12,Size18,Size24,Size30,Size36,Size48
77,1570,0,0,1,1,0,0,0,0,693,682,1463,1653,1696,1786,1771,1827
147,2257,0,3,0,0,0,2,0,0,1773,2469,4727,5061,5247,6095,6320,6375
161,1700,0,0,0,0,0,0,0,0,442,497,785,800,836,942,955,943
171,1243,0,0,0,0,2,0,0,0,580,618,1216,1274,1516,1659,1728,1817
176,861,0,0,1,1,0,0,0,0,618,712,1440,1888,1980,1968,1950,2009
305,1707,0,0,0,0,0,0,0,0,496,556,699,753,794,816,825,1159
315,1348,0,2,0,0,1,0,0,0,1402,1982,3824,4303,4667,5211,5352,5212
323,1468,0,0,0,2,0,0,0,0,545,610,1121,1379,1549,1639,1644,1685
476,2680,0,0,0,0,1,1,0,0,514,543,1006,1007,1113,1439,1487,1688
497,1976,0,0,1,1,0,0,0,0,649,709,1452,1695,1832,1920,1925,1968
564,500,0,0,0,0,2,0,0,0,752,734,1194,1307,1666,1840,1815,1889
638,2631,0,0,2,0,0,1,0,0,1045,1571,2642,2859,3041,3678,3840,3887
669,2274,0,0,0,0,0,0,0,1,547,551,924,984,1002,1087,1105,1223
800,2011,0,0,0,0,2,0,0,0,564,660,1247,1278,1614,1756,1848,1820
840,2324,0,0,0,0,0,0,0,0,516,517,784,807,872,947,999,945
864,1710,0,0,0,0,2,0,0,0,568,659,1183,1226,1444,1757,1768,1797
892,2677,0,0,0,0,0,0,0,0,488,463,712,737,765,830,842,819
932,2257,0,0,0,0,0,2,0,0,486,478,901,966,933,1278,1284,1313
941,1505,0,0,0,0,2,0,0,0,487,549,1023,1085,1555,1592,1601,1651
964,245,0,2,1,0,0,0,0,0,1401,2028,3981,4562,4695,5082,5097,5097
1051,1608,0,0,0,0,0,0,0,0,486,635,1072,1134,1142,1247,1247,1210
1067,297,0,2,0,0,1,0,0,0,1361,1963,3567,3878,4262,4776,5047,5076
1063,818,0,0,0,0,0,0,0,0,448,518,885,902,913,1021,1066,1038
1133,862,0,0,0,0,0,2,0,0,499,515,915,960,1076,1346,1349,1281
1162,1426,0,0,0,0,0,2,0,0,436,564,912,961,1058,1341,1356,1292
1173,380,0,0,0,0,0,2,0,0,459,540,910,964,1030,1342,1360,1381
1233,2330,0,0,2,0,0,0,0,0,733,924,2080,2046,1911,2091,2130,2016
1342,2238,0,0,0,0,2,0,0,0,541,639,1261,1352,1426,1841,1831,1779
1359,1594,0,0,0,0,0,2,0,0,497,608,1147,1201,1273,1659,1614,1617
1408,1372,0,0,0,0,0,0,0,0,461,472,913,965,963,993,1025,993
1433,241,0,0,0,0,0,2,0,0,515,526,998,1062,1050,1230,1233,1294
1488,512,0,3,0,0,0,2,0,0,1816,2351,4097,4338,4619,5504,5721,5833
1480,2253,0,0,0,0,0,2,0,0,411,469,941,993,1005,1334,1338,1328
1573,2130,0,0,0,2,0,0,0,0,557,638,1166,1546,1780,1826,1848,1860
1626,2268,0,0,0,0,0,2,0,0,544,663,1182,1262,1389,1719,1795,1685
1709,1898,0,0,2,0,0,2,0,0,1019,1227,2435,2536,2722,3323,3387,3368
1714,1079,0,0,0,0,0,2,0,0,496,520,882,938,981,1234,1289,1326
1755,961,0,0,0,0,0,2,0,0,485,514,833,885,921,1281,1331,1314
1885,264,0,0,2,0,0,1,0,0,830,1242,2190,2297,2383,2887,3029,3058
1920,2563,0,0,0,0,0,0,0,0,431,495,907,940,950,1066,1105,1052
1942,1249,0,0,2,0,0,1,0,0,1003,1297,2526,2646,3026,3561,3754,3654
1973,2404,0,0,0,0,0,0,0,0,474,573,958,1056,1058,1186,1203,1114
2029,800,0,0,0,2,0,0,0,0,618,706,1467,1744,1812,1941,1899,1910
2164,495,0,2,0,0,0,2,0,0,1378,1977,4320,4660,5007,5541,5441,5218
2201,1922,0,0,0,0,0,2,0,0,441,504,949,1000,1036,1424,1421,1367
2208,1189,0,0,0,0,2,0,0,0,523,660,1120,1138,1318,1669,1689,1652
2294,1333,0,0,0,0,0,0,0,0,420,520,859,870,887,1016,1064,1069
2388,134,0,0,0,0,0,0,0,0,1748,1843,3165,3322,3564,4335,4480,4558
2384,1380,0,0,0,1,0,0,0,0,554,657,1332,1373,1465,1680,1692,1640
2435,1434,0,0,2,0,0,0,0,0,746,803,1855,2039,2119,2271,2264,2266
2500,1728,0,0,0,0,0,0,0,0,326,403,639,634,668,709,701,673
2525,2078,0,0,0,0,0,2,0,0,556,608,1144,1211,1289,1666,1693,1665
2577,1663,0,0,0,0,2,0,0,0,478,566,1081,1113,1341,1621,1616,1713
2598,1793,0,0,0,0,2,0,0,0,541,630,1295,1342,1562,1804,1839,1855
2611,688,0,0,0,0,0,0,0,0,441,502,822,835,866,920,942,891
2662,1342,0,0,0,0,0,0,0,0,349,445,850,826,842,934,948,948
2713,588,0,0,1,0,0,1,0,0,578,748,1383,1530,1665,2008,2096,2135
2745,1305,0,0,2,0,0,1,0,0,793,1022,2142,2231,2460,3046,3197,3263
2856,2127,0,0,0,0,0,2,0,0,500,570,1053,1136,1173,1514,1558,1546
2859,1776,0,0,0,0,0,0,0,0,458,517,813,838,857,952,955,885
2901,1182,0,0,1,1,0,0,0,0,665,773,1708,1941,2019,2193,2231,2245
2908,1548,0,0,0,0,0,2,0,0,491,623,1075,1071,1236,1609,1632,1638
2940,2537,0,0,0,0,0,0,0,0,1600,1763,3120,3234,3339,4261,4504,4313
3011,1350,0,0,0,0,0,1,0,0,436,527,899,929,990,1221,1313,1268
3018,185,0,0,0,0,0,0,0,0,525,570,969,1074,1008,1073,1071,1070
3045,1550,0,0,0,0,0,2,0,0,502,604,1068,1095,1158,1555,1631,1630
3045,1723,0,0,0,0,0,0,0,0,411,534,869,879,1002,1184,1315,1282
3244,1664,0,0,0,2,0,0,0,0,520,661,1320,1531,1622,1820,1898,1890
3350,1788,0,0,0,0,0,0,0,0,426,511,721,742,798,818,779,732
3375,1519,0,0,1,1,0,0,0,0,613,667,1479,1641,1664,1827,1883,1890
3379,118,0,0,2,0,0,0,0,0,811,902,2002,2251,2239,2313,2349,2394
3471,1017,0,0,0,0,0,0,0,0,449,509,881,922,925,987,1000,935
3473,275,0,0,0,0,0,2,0,0,538,618,1143,1245,1205,1563,1622,1632
3502,1500,0,0,0,1,2,0,0,0,780,917,1629,1702,1923,2370,2413,2398
3548,2637,0,0,0,0,2,0,0,0,590,736,1258,1328,1644,1845,1898,1914
3554,764,0,0,0,0,1,1,0,0,485,599,982,1011,1138,1558,1549,1588
3568,318,0,0,0,0,1,1,0,0,536,630,1046,1137,1163,1525,1550,1575
3576,2164,0,0,2,0,0,0,0,0,697,804,1796,2072,2207,2416,2420,2451
77,443,0,2,0,0,2,0,0,0,1319,1966,3575,3798,4134,4379,4436,4463
561,1011,0,0,2,0,0,0,0,0,994,974,1931,2049,2019,2054,2089,2176
709,1174,0,2,0,0,0,1,0,0,1301,2005,4102,4230,4166,4257,4294,4246
880,1262,0,2,0,0,0,0,0,0,994,1441,2324,2380,2449,2502,2511,2499
1194,1849,0,0,2,0,0,2,0,0,1193,1627,2130,2529,2657,3097,3163,3154
1282,1476,0,0,3,0,0,0,0,0,981,1140,2659,2794,2800,2854,2846,2938
1545,950,0,2,0,0,0,0,0,0,1390,2095,3904,4088,4207,4313,4366,4259
1660,1518,0,0,0,0,2,0,0,0,664,561,1033,1090,1198,1289,1306,1329
1718,853,0,2,0,0,0,0,0,0,1338,1938,3991,4260,4264,4265,4437,4284
2009,1306,0,0,0,0,0,0,0,0,656,539,869,893,932,928,930,991
2065,317,0,2,0,0,0,0,0,0,924,1411,2320,2378,2446,2488,2528,2592
2078,961,0,0,0,0,0,0,0,0,528,499,782,795,828,842,834,871
2230,1390,0,0,0,0,0,0,0,0,277,451,704,626,571,544,477,497
2398,645,0,3,0,0,0,0,0,0,1629,2183,3859,3873,3966,3978,3996,3959
2420,760,0,0,0,0,0,0,0,0,549,507,960,1024,983,1091,1046,1068
2710,2152,0,0,0,0,0,0,0,0,611,572,971,1005,964,958,944,902
2712,1669,0,0,0,0,0,0,0,0,381,381,545,555,526,530,516,518
2716,519,0,0,0,0,0,0,1,0,651,623,1061,1082,1117,1223,1182,1237
2745,1734,0,0,0,0,0,0,0,0,368,530,929,962,976,926,938,940
2820,1666,0,3,0,0,0,0,0,0,1559,2218,3865,3955,4118,4235,4223,4376
2814,859,0,0,0,0,0,0,0,0,737,709,1150,1053,970,956,953,885
2882,1103,0,0,0,0,0,0,0,0,502,466,692,714,730,714,727,735
2917,454,0,0,0,0,0,0,0,0,568,622,1038,1054,1081,1229,1032,1029
3008,1864,0,0,0,0,0,0,0,0,603,550,783,788,802,765,780,837
3024,2212,0,0,0,2,0,0,0,0,628,724,1500,1753,1766,1782,1764,1770
3063,369,0,0,0,0,0,2,0,0,576,646,1183,1230,1196,1515,1468,1527
3225,1406,0,0,0,0,0,1,0,0,530,516,866,888,944,1025,1005,1032
3277,77,0,3,0,0,0,0,0,0,1466,2385,4945,4999,5037,5107,5046,5026
3456,1357,0,0,0,0,0,0,0,0,576,526,897,938,928,936,978,846
3460,1654,0,0,0,0,0,0,0,0,564,525,996,1052,1007,1057,939,1104
3464,1029,0,0,0,0,0,0,0,0,526,574,903,918,935,950,944,994
3468,1221,0,0,0,0,2,0,0,0,567,648,1050,1043,1250,1316,1344,1375
77,696,0,2,0,0,0,0,0,0,1177,1828,2710,3081,2917,3199,3158,3399
77,692,0,2,0,0,0,0,0,0,1177,1828,2706,3081,2920,3209,3158,3399
495,585,0,3,0,0,0,0,0,0,1626,2285,3825,4286,4209,4422,4434,4408
488,672,0,0,2,0,0,0,0,0,922,1027,2109,2242,2164,2184,2152,2369
758,1248,0,0,0,0,0,0,0,0,410,505,725,842,779,842,806,791
888,558,0,0,2,0,0,0,0,0,903,1015,2124,2210,2161,2215,2253,2573
989,1861,0,0,0,0,0,0,0,0,535,597,850,921,872,901,894,951
1049,1386,0,0,0,0,0,0,0,0,432,505,752,860,769,803,780,792
1057,1851,0,0,0,0,0,0,0,0,480,575,875,1079,1027,1159,1093,993
1068,1535,0,1,1,0,0,0,0,0,1053,1266,2254,2641,2459,2586,2512,2412
1130,246,0,0,2,0,0,0,0,0,835,974,1938,2153,2072,2191,2133,2166
1261,1663,0,0,2,0,0,0,0,0,1059,1421,2296,2707,2540,2636,2679,2501
1346,1013,0,0,0,0,0,0,0,0,453,535,755,949,853,939,911,794
1393,802,0,0,0,0,0,0,0,0,404,516,779,1053,812,774,390,1022
1527,467,0,0,2,0,0,0,0,0,818,932,1866,2064,2027,2135,2104,2137
1592,358,0,0,0,0,0,0,0,0,633,714,928,1041,971,1043,961,1009
1633,1112,0,0,0,0,0,0,0,0,453,551,844,986,944,991,944,867
1674,1517,0,0,0,0,0,0,0,0,353,393,582,664,614,662,627,653
1683,1933,0,0,0,0,0,0,0,0,560,567,881,877,836,853,839,1027
1786,1105,0,0,2,0,0,0,0,0,890,1204,2019,2388,2329,2439,2420,2351
1915,1309,0,0,2,0,0,0,0,0,768,930,1758,2024,1971,2039,2016,2010
1934,568,0,2,0,0,0,0,0,0,1353,1821,3013,3693,3650,4102,3953,3591
1999,77,0,0,0,0,0,0,0,0,489,632,1143,1055,1002,990,958,1082
2028,1180,0,0,2,0,0,0,0,0,820,861,1927,2108,2036,2088,2110,2080
2059,673,0,0,0,0,0,0,0,0,452,498,741,818,773,802,798,788
2124,657,0,0,0,0,2,0,0,0,536,646,1068,1325,1419,1608,1563,1495
2293,1721,0,0,2,0,0,0,0,0,747,886,2079,2222,2162,2196,2159,2343
2589,1845,0,0,2,0,0,0,0,0,797,896,1864,2072,1994,2048,1984,1877
2592,1195,0,0,0,0,0,0,0,0,419,512,754,901,863,959,917,798
2684,937,0,0,0,0,0,0,0,0,501,566,918,1132,1120,1251,1254,1004
2830,1526,0,0,0,0,0,0,0,0,444,524,728,890,856,934,893,807
2843,131,0,0,0,0,0,0,0,0,439,570,813,958,935,1027,975,900
2993,1477,0,0,0,0,0,0,0,0,588,611,1078,1213,1188,1220,1196,1086
3016,761,0,0,0,0,0,0,0,0,488,614,881,1000,969,1024,984,944
3016,1560,0,0,0,0,0,0,0,0,566,651,1062,1217,1101,1121,1098,1016
3051,405,0,0,2,0,0,0,0,0,941,1282,1952,2299,2220,2309,2240,2095
3073,1865,0,0,0,0,0,0,0,0,468,536,810,996,913,960,949,812
3187,1833,0,0,0,0,0,0,0,0,452,510,678,810,748,790,763,674
3234,77,0,0,0,0,0,2,0,0,639,801,1124,1334,1303,1562,1554,1340
3258,473,0,0,0,0,0,0,0,0,522,712,823,986,945,1042,980,854
3270,945,0,0,0,0,0,0,0,0,509,632,1015,1242,1174,1419,1182,1170
77,680,0,0,0,0,0,0,0,0,538,610,976,993,1007,1058,1062,971
84,211,0,3,0,0,0,0,0,0,1511,2198,3899,4097,4202,4440,4539,4825
112,2371,0,0,0,1,0,0,0,0,735,877,1419,1397,1446,1568,1589,1802
112,2371,0,0,0,1,0,0,0,0,735,877,1419,1397,1446,1568,1589,1802
205,1867,0,0,1,0,0,0,0,0,709,802,1610,1694,1638,1514,1591,1625
210,1528,0,0,0,0,2,0,0,0,684,799,1231,1289,1748,1855,1855,1937
211,1722,0,0,0,0,0,0,0,0,569,684,927,907,914,984,974,1008
273,1784,0,0,0,0,0,0,0,0,467,592,952,921,924,991,930,998
279,2742,0,0,0,1,0,0,0,0,700,827,1321,1457,1911,1496,1529,1549
300,100,0,0,0,0,0,0,0,0,591,674,990,953,984,1118,1145,1185
376,1301,0,0,2,0,0,0,0,0,1238,1648,2746,2744,2697,2863,2880,2887
407,288,0,0,0,0,0,2,0,0,555,664,1056,1137,1065,1444,1551,1564
447,1138,0,0,0,1,0,0,0,0,741,842,1425,1467,1543,1808,1790,1985
477,1541,0,0,0,0,0,0,0,0,559,670,1142,1139,1127,1207,1176,1196
561,1177,0,0,0,0,0,0,0,0,457,523,779,766,767,832,905,882
619,213,0,0,0,0,0,0,0,0,608,664,1084,1092,1180,1159,1226,1175
685,2745,0,0,2,0,0,0,0,0,748,818,1981,2133,2286,2079,2117,2091
741,294,0,0,0,0,0,1,0,0,444,529,839,859,848,986,932,1086
749,1965,0,0,0,0,0,0,0,0,448,525,735,741,792,775,781,833
781,892,0,0,0,0,0,0,0,0,432,501,713,713,725,780,734,801
794,1459,0,0,0,0,0,0,0,0,426,491,853,869,1353,885,955,899
843,346,0,0,0,0,0,0,0,0,498,564,952,1005,1005,1014,1012,1069
890,2407,0,1,0,0,0,0,0,0,760,982,1412,1413,1485,1526,1508,1583
888,838,0,0,1,0,0,0,0,0,660,753,1432,1486,1310,1278,1231,1427
1014,956,0,0,0,0,0,0,0,0,537,582,1023,1066,1184,1029,1262,1303
1031,226,0,0,1,0,0,0,0,0,644,738,1506,1581,1522,1600,1532,1788
1077,77,0,0,0,0,0,0,0,0,543,620,925,926,963,994,960,1016
1093,2752,0,0,0,0,0,2,0,0,583,723,1084,1080,1095,1311,1383,1430
1131,282,0,0,2,0,0,0,0,0,750,835,1726,1816,1750,1724,1778,1736
1122,1893,0,0,0,0,0,0,0,0,405,458,654,677,734,694,703,846
1155,967,0,0,2,0,0,0,0,0,822,886,1907,1964,1957,1969,1972,2083
1170,2285,0,0,0,0,0,0,0,0,520,618,854,832,872,928,933,1072
1178,655,0,0,0,0,0,0,0,0,479,559,902,878,907,988,954,997
1210,366,0,0,0,0,0,1,0,0,404,543,873,874,859,1018,959,1057
1309,1601,0,0,0,0,1,1,0,0,504,603,1112,1135,1129,1455,1418,1451
1345,823,0,0,2,0,0,0,0,0,799,908,1976,2005,2012,2071,2106,2093
1366,2540,0,0,0,0,0,0,0,0,468,589,944,970,932,1067,957,1074
1389,2626,0,3,0,0,0,1,0,0,2136,2921,5789,5987,6056,6910,6678,6819
1431,1571,0,0,2,0,0,0,0,0,1068,1404,2370,2334,2296,2517,2545,2589
1432,420,0,0,0,0,0,0,0,0,430,496,782,767,771,850,809,902
1442,93,0,0,0,0,0,0,0,0,422,517,725,686,692,742,751,723
1446,2292,0,0,0,0,0,0,0,0,455,570,877,868,859,920,1060,1071
1478,77,0,0,0,0,0,0,0,0,393,508,723,706,698,762,768,744
1522,633,0,0,0,0,0,0,0,0,538,499,726,808,801,764,756,720
1588,133,0,2,0,0,0,2,0,0,1550,1995,3440,3496,3544,4049,3882,4087
1603,360,0,0,0,0,0,0,0,0,409,525,827,812,818,877,868,904
1664,1617,0,2,0,0,0,1,0,0,1682,2195,4669,4912,4993,5104,5026,5053
1696,303,0,0,0,0,0,0,0,0,476,528,814,795,796,819,814,832
1782,842,0,0,0,0,2,0,0,0,718,817,1537,1467,1640,1845,1803,1928
1779,1587,0,0,0,0,0,0,0,0,369,431,679,642,655,704,668,719
1861,2422,0,2,0,0,2,0,0,0,1666,2160,3948,4201,4397,4755,4576,4696
1891,1027,0,0,0,0,0,0,0,0,416,489,838,794,786,890,874,835
1929,1769,0,0,0,0,0,0,0,0,497,597,921,888,886,976,941,910
1937,2179,0,0,0,0,0,0,0,0,514,585,997,976,927,1018,910,1071
1962,358,0,0,0,0,0,0,0,0,515,557,985,1000,996,1043,938,1064
2024,2529,0,0,0,0,0,0,0,0,479,564,980,942,951,962,940,945
2038,1982,0,0,0,0,0,2,0,0,653,747,1283,1210,1345,1597,1457,1627
2048,328,0,0,0,0,0,0,0,0,417,465,813,758,749,831,846,808
2063,1487,0,0,0,0,0,2,0,0,548,645,1137,1115,1113,1297,1228,1344
2073,2662,0,0,0,0,0,0,0,0,553,636,965,863,866,958,919,1028
2091,268,0,0,2,0,0,0,0,0,681,752,1616,1727,1744,1776,1757,1812
2091,2100,0,0,0,0,0,0,0,0,460,557,1005,999,1004,997,949,987
2090,1188,0,0,0,0,0,0,0,0,422,486,735,742,745,770,748,733
2099,1769,0,0,0,0,0,0,0,0,453,488,919,917,955,926,904,937
2136,2833,0,0,0,0,0,0,0,0,511,601,898,898,898,984,971,1021
2144,1367,0,0,2,0,0,0,0,0,982,1245,2189,2093,2113,2305,2270,2495
2217,2070,0,2,0,0,0,0,0,0,1245,1596,2724,2622,2677,2914,2854,3121
2246,1240,0,0,0,0,0,0,0,0,539,637,1079,1036,1069,1363,1312,1380
2309,255,0,0,0,0,0,0,0,0,574,662,1154,1106,1133,1298,1254,1337
2341,1817,0,0,0,0,0,0,0,0,429,503,774,720,723,800,773,820
2349,2196,0,0,0,2,0,0,0,0,597,672,1415,1516,1503,1596,1613,1652
2370,2638,0,0,0,0,0,0,0,0,540,621,1043,1089,1051,1108,1004,1094
2394,2279,0,0,0,0,0,2,0,0,592,725,1248,1180,1193,1494,1426,1596
2398,254,0,0,0,0,0,0,0,0,468,541,921,909,934,940,889,921
2401,2514,0,0,0,0,0,0,0,0,598,710,1164,1098,1042,1000,979,942
2438,1736,0,0,0,0,0,2,0,0,584,691,1179,1118,1165,1473,1458,1527
2448,652,0,0,0,0,0,0,0,0,456,517,779,762,918,918,879,795
2489,1806,0,0,0,0,0,0,0,0,482,621,983,925,920,1061,1023,1048
2548,1019,0,2,0,0,0,0,0,0,1346,1700,2978,2888,2923,3149,3063,3345
