animal_id,source_id,source_csv_row,sex,strain,diet,date_born,date_exit,exit_reason_raw,exit_class,published_exit_inclusion,has_clinical_record_whole_record,endpoint_chronology_valid,endpoint_chronology_flags,first_observation_date,last_observation_date,entry_age_days,actual_visit_count
AgedB6-0255,AgedB6-0255,2,m,C57BL/6J,AL,2017-09-03,2019-11-26,RE,requested_euthanasia,True,1,True,,2019-10-30,2019-11-25,787,5
AgedB6-0256,AgedB6-0256,3,m,C57BL/6J,AL,2017-09-03,2020-06-28,FD,found_dead,True,1,True,,2019-10-30,2020-06-21,787,35
AgedB6-0267,AgedB6-0267,4,f,C57BL/6J,AL,2017-12-09,2019-12-19,FD,found_dead,True,0,True,,2019-10-30,2019-12-11,690,7
AgedB6-0269,AgedB6-0269,5,f,C57BL/6J,AL,2017-12-09,2020-08-05,,unknown,False,0,True,,2019-10-30,2020-07-06,690,36
AgedB6-0274,AgedB6-0274,6,m,C57BL/6J,AL,2017-12-09,2020-01-12,FD,found_dead,True,0,True,,2019-10-30,2020-01-07,690,11
AgedB6-0472,AgedB6-0472,7,f,C57BL/6J,AL,2017-07-24,2019-11-25,FD,found_dead,True,1,True,,2019-11-05,2019-11-19,834,3
AgedB6-0477,AgedB6-0477,8,f,C57BL/6J,AL,2017-07-24,2019-12-10,MSG,missing,False,0,True,,2019-11-05,2019-11-25,834,3
AgedB6-0482,AgedB6-0482,9,f,C57BL/6J,AL,2017-07-24,2020-06-02,FD,found_dead,True,1,True,,2019-10-30,2020-05-31,828,31
AgedB6-0483,AgedB6-0483,10,f,C57BL/6J,AL,2017-07-24,2020-02-05,FD,found_dead,True,0,True,,2019-10-30,2020-02-03,828,15
AgedB6-0484,AgedB6-0484,11,f,C57BL/6J,AL,2017-07-24,2019-11-05,FD,found_dead,True,0,True,,2019-10-30,2019-10-30,828,1
AgedB6-0576,AgedB6-0576,12,f,C57BL/6J,AL,2017-10-30,2020-03-10,ES,euthanized_sick,True,1,True,,2019-10-30,2020-03-08,730,20
AgedB6-0577,AgedB6-0577,13,f,C57BL/6J,AL,2017-10-30,2020-05-18,FD,found_dead,True,0,True,,2019-10-30,2020-05-10,730,29
AgedB6-0578,AgedB6-0578,14,f,C57BL/6J,AL,2017-10-30,2020-03-25,DC,discarded,False,1,True,,2019-10-30,2020-03-22,730,22
AgedB6-0579,AgedB6-0579,15,f,C57BL/6J,AL,2017-10-30,2020-04-12,FD,found_dead,True,0,True,,2019-10-30,2020-04-05,730,24
AgedB6-0624,AgedB6-0624,16,f,C57BL/6J,AL,2017-10-30,2020-02-05,FD,found_dead,True,0,True,,2019-10-30,2020-01-27,730,14
AgedB6-0625,AgedB6-0625,17,f,C57BL/6J,AL,2017-10-30,2020-07-13,ES,euthanized_sick,True,0,True,,2019-10-30,2020-07-05,730,37
AgedB6-0626,AgedB6-0626,18,f,C57BL/6J,AL,2017-10-30,2020-02-27,FD,found_dead,True,0,True,,2019-10-30,2020-02-24,730,18
AgedB6-0628,AgedB6-0628,19,f,C57BL/6J,AL,2017-10-30,2020-05-04,FD,found_dead,True,0,True,,2019-10-30,2020-04-26,730,27
AgedB6-0685,AgedB6-0685,20,m,C57BL/6J,AL,2017-12-05,2020-06-14,,unknown,False,0,True,,2019-10-30,2020-06-07,694,33
AgedB6-0686,AgedB6-0686,21,m,C57BL/6J,AL,2017-12-05,2019-11-25,FD,found_dead,True,0,True,,2019-10-30,2019-11-19,694,4
AgedB6-0687,AgedB6-0687,22,m,C57BL/6J,AL,2017-12-05,2020-12-21,FD,found_dead,True,0,True,,2019-10-30,2020-12-15,694,60
AgedB6-0688,AgedB6-0688,23,m,C57BL/6J,AL,2017-12-05,2020-07-27,MSG,missing,False,0,True,,2019-10-30,2020-07-19,694,39
AgedB6-0689,AgedB6-0689,24,m,C57BL/6J,AL,2017-12-05,2019-10-25,MSG,missing,False,0,False,observations_after_recorded_exit,2019-10-30,2020-02-10,694,11
AgedB6-0692,AgedB6-0692,25,m,C57BL/6J,AL,2017-12-05,2020-08-31,FD,found_dead,True,0,True,,2019-10-30,2020-08-24,694,43
AgedB6-0693,AgedB6-0693,26,m,C57BL/6J,AL,2017-12-05,2020-07-05,FD,found_dead,True,0,True,,2019-10-30,2020-06-29,694,35
AgedB6-0694,AgedB6-0694,27,m,C57BL/6J,AL,2017-12-05,2020-06-07,FD,found_dead,True,0,True,,2019-10-30,2020-06-01,694,32
AgedB6-0695,AgedB6-0695,28,m,C57BL/6J,AL,2017-12-05,2020-11-03,ES,euthanized_sick,True,0,True,,2019-10-30,2020-10-28,694,52
AgedB6-0696,AgedB6-0696,29,m,C57BL/6J,AL,2017-12-05,2020-04-26,FD,found_dead,True,0,True,,2019-10-30,2020-04-20,694,25
