animal_id,source_id,source_csv_row,assessment_slot,sex,strain,diet,collection_date,date_due,assessor_id,body_weight,temperature,breathing_rate_depth,coat_condition,piloerection,dermatitis,pallor_and_or_cyanosis,kyphosis,hunched,body_condition,eye_discharge_eyelid_inflammation,changes_to_the_globe,response_to_analgesic,peri_retro_orbital_swelling,nasal_discharge,rectal_prolapse,vaginal_uterine_prolapse,diarrhea,tail_stiffening,vestibular_disturbance,gait_disorders,tremor,activity,response_to_external_stimuli,paralysis,tumors,distended_abdomen,urine,dehydration_reduced_skin_turgor,malocclusions,head_piloerection,thoracic_mass,age_days,ordinal_observed,ordinal_missing,published_fgi_mean_observed,published_severe_sum_na_removed,severe_lower_bound,severe_upper_bound,severe_count_complete,ge4_state_certain,ge4_state_complete,history_days_observed,prior_assessments,days_since_previous_assessment
AgedB6-0255,AgedB6-0255,2,1,m,C57BL/6J,AL,2019-10-30,2019-10-29,C,36.29,35.1,0.0,1.0,1.0,0.25,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787,30,0,0.2,4,4,4,4,impaired,impaired,0,0,
AgedB6-0255,AgedB6-0255,2,2,m,C57BL/6J,AL,2019-11-05,2019-11-06,C,36.08,34.4,0.0,1.0,1.0,0.25,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,793,30,0,0.26666666666666666,6,6,6,6,impaired,impaired,6,1,6
AgedB6-0255,AgedB6-0255,2,3,m,C57BL/6J,AL,2019-11-12,2019-11-13,C,35.19,35.4,0.0,1.0,1.0,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,800,30,0,0.2,4,4,4,4,impaired,impaired,13,2,7
AgedB6-0255,AgedB6-0255,2,4,m,C57BL/6J,AL,2019-11-19,2019-11-20,C,36.08,34.2,0.5,1.0,1.0,0.25,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,807,30,0,0.23333333333333334,3,3,3,3,below_threshold,below_threshold,20,3,7
AgedB6-0255,AgedB6-0255,2,5,m,C57BL/6J,AL,2019-11-25,2019-11-27,C,36.73,34.2,0.5,1.0,1.0,0.25,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,813,30,0,0.21666666666666667,3,3,3,3,below_threshold,below_threshold,26,4,6
AgedB6-0256,AgedB6-0256,3,1,m,C57BL/6J,AL,2019-10-30,2019-10-29,C,39.12,35.6,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,787,30,0,0.15,2,2,2,2,below_threshold,below_threshold,0,0,
AgedB6-0256,AgedB6-0256,3,2,m,C57BL/6J,AL,2019-11-05,2019-11-06,C,38.92,34.9,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,793,30,0,0.13333333333333333,3,3,3,3,below_threshold,below_threshold,6,1,6
AgedB6-0256,AgedB6-0256,3,3,m,C57BL/6J,AL,2019-11-12,2019-11-13,C,37.97,35.5,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,800,30,0,0.21666666666666667,4,4,4,4,impaired,impaired,13,2,7
AgedB6-0256,AgedB6-0256,3,4,m,C57BL/6J,AL,2019-11-19,2019-11-20,C,37.64,36.2,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,807,30,0,0.23333333333333334,3,3,3,3,below_threshold,below_threshold,20,3,7
AgedB6-0256,AgedB6-0256,3,5,m,C57BL/6J,AL,2019-11-25,2019-11-27,C,36.62,35.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,813,30,0,0.16666666666666666,3,3,3,3,below_threshold,below_threshold,26,4,6
AgedB6-0256,AgedB6-0256,3,6,m,C57BL/6J,AL,2019-12-03,2019-12-04,C,36.01,34.7,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,821,30,0,0.26666666666666666,6,6,6,6,impaired,impaired,34,5,8
AgedB6-0256,AgedB6-0256,3,7,m,C57BL/6J,AL,2019-12-10,2019-12-11,C,35.71,35.6,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,828,30,0,0.18333333333333332,3,3,3,3,below_threshold,below_threshold,41,6,7
AgedB6-0256,AgedB6-0256,3,8,m,C57BL/6J,AL,2019-12-17,2019-12-18,D,35.13,36.1,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,835,30,0,0.2,3,3,3,3,below_threshold,below_threshold,48,7,7
