landmark_id,animal_id,source_id,strain,diet,sex,landmark_date,current_state,current_missing_items,current_complete,label,label_reason,outcome_date,outcome_gap_days,target_complete,window_assessment_count,window_complete_count,window_identifiable_count,fold
DO-1D-3072|2019-10-08,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-10-08,0,2,False,0,observed_burden,2019-10-15T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2019-10-15,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-10-15,0,0,True,-1,no_assessment_in_window,,,False,0,0,0,1
DO-1D-3072|2019-11-05,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-11-05,0,0,True,0,observed_burden,2019-11-12T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2019-11-12,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-11-12,0,0,True,0,observed_burden,2019-11-19T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2019-11-19,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-11-19,0,0,True,1,observed_burden,2019-11-25T00:00:00,6.0,True,1,1,1,1
DO-1D-3072|2019-11-25,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-11-25,1,0,True,0,observed_burden,2019-12-03T00:00:00,8.0,True,1,1,1,1
DO-1D-3072|2019-12-03,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-12-03,0,0,True,0,observed_burden,2019-12-10T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2019-12-10,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-12-10,0,0,True,0,observed_burden,2019-12-17T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2019-12-17,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-12-17,0,0,True,0,observed_burden,2019-12-23T00:00:00,6.0,True,1,1,1,1
DO-1D-3072|2019-12-23,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2019-12-23,0,0,True,-1,no_assessment_in_window,,,False,0,0,0,1
DO-1D-3072|2020-01-02,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-01-02,0,0,True,0,observed_burden,2020-01-07T00:00:00,5.0,True,1,1,1,1
DO-1D-3072|2020-01-07,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-01-07,0,0,True,1,observed_burden,2020-01-14T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2020-01-14,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-01-14,1,0,True,-1,no_assessment_in_window,,,False,0,0,0,1
DO-1D-3072|2020-01-27,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-01-27,1,0,True,0,observed_burden,2020-02-03T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2020-02-03,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-02-03,0,0,True,1,observed_burden,2020-02-10T00:00:00,7.0,True,1,1,1,1
DO-1D-3072|2020-02-10,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-02-10,1,0,True,2,terminal_ES,2020-02-18T00:00:00,,False,1,1,1,1
DO-1D-3072|2020-02-17,DO-1D-3072,DO-1D-3072,J:DO,IF1,f,2020-02-17,1,0,True,2,terminal_ES,2020-02-18T00:00:00,,False,0,0,0,1
DO-1D-3074|2019-10-08,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-10-08,1,2,False,1,observed_burden,2019-10-15T00:00:00,7.0,True,1,1,1,3
DO-1D-3074|2019-10-15,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-10-15,1,0,True,-1,no_assessment_in_window,,,False,0,0,0,3
DO-1D-3074|2019-11-05,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-11-05,1,0,True,1,observed_burden,2019-11-12T00:00:00,7.0,True,1,1,1,3
DO-1D-3074|2019-11-12,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-11-12,1,0,True,1,observed_burden,2019-11-19T00:00:00,7.0,True,1,1,1,3
DO-1D-3074|2019-11-19,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-11-19,1,0,True,1,observed_burden,2019-11-25T00:00:00,6.0,True,1,1,1,3
DO-1D-3074|2019-11-25,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-11-25,1,0,True,1,observed_burden,2019-12-03T00:00:00,8.0,True,1,1,1,3
DO-1D-3074|2019-12-03,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-12-03,1,0,True,1,observed_burden,2019-12-10T00:00:00,7.0,True,1,1,1,3
DO-1D-3074|2019-12-10,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-12-10,1,0,True,1,observed_burden,2019-12-17T00:00:00,7.0,True,1,1,1,3
DO-1D-3074|2019-12-17,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-12-17,1,0,True,1,observed_burden,2019-12-23T00:00:00,6.0,True,1,1,1,3
DO-1D-3074|2019-12-23,DO-1D-3074,DO-1D-3074,J:DO,IF1,f,2019-12-23,1,0,True,-1,no_assessment_in_window,,,False,0,0,0,3
DO-1D-3084|2019-10-08,DO-1D-3084,DO-1D-3084,J:DO,IF1,f,2019-10-08,-1,2,False,1,observed_burden,2019-10-15T00:00:00,7.0,True,1,1,1,4
DO-1D-3084|2019-10-15,DO-1D-3084,DO-1D-3084,J:DO,IF1,f,2019-10-15,1,0,True,-1,no_assessment_in_window,,,False,0,0,0,4
DO-1D-3084|2019-11-13,DO-1D-3084,DO-1D-3084,J:DO,IF1,f,2019-11-13,0,0,True,1,observed_burden,2019-11-20T00:00:00,7.0,True,1,1,1,4
DO-1D-3084|2019-11-20,DO-1D-3084,DO-1D-3084,J:DO,IF1,f,2019-11-20,1,0,True,1,observed_burden,2019-11-26T00:00:00,6.0,True,1,1,1,4
