context,target,truth_genes,training_magnitude,training_disagreement,variance_eligible_genes,zero_mse,zero_cosine,global_template_mse,global_template_cosine,target_mean_mse,target_mean_cosine,global_shrink_mse,global_shrink_cosine,heterogeneity_shrink_mse,heterogeneity_shrink_cosine,permuted_target_mean_mse,permuted_target_mean_cosine
K562,AAAS,6642,0.03715629474141507,0.08970478796288316,6642,0.026440297307995027,nan,0.05511720859394393,0.0336960337737493,0.05612166820909333,0.11924149807466233,0.026893834719410915,0.11924149807466233,0.02639659928233472,0.11924149704541073,0.20931607124257032,0.04277232972217427
K562,AAMP,6642,0.1841943645028627,0.43888537745436385,6639,0.07117931850352412,nan,0.0923120902327006,0.10136965269516357,0.22969141851238903,0.11218619527153373,0.07626909787647933,0.11218619527153373,0.0729645673652148,0.11218619523612114,0.1961090148161194,0.09477076474177586
K562,AARS,6632,0.2832216369923568,0.2711572215131699,6642,0.3338510231091016,nan,0.3062033074168714,0.28814924087178995,0.38196940970835247,0.38254083346934487,0.29272642913165775,0.38254083346934487,0.30489610732166245,0.3825408336041875,0.36632874388681114,0.1668359499388978
K562,AARS2,6642,0.0391209478502105,0.10704079906427495,6641,0.0344305709346669,nan,0.0615238384624412,0.05392559060809469,0.07046338427978749,0.04199455641780467,0.03610470091365018,0.04199455641780467,0.034458805016250094,0.04199455576317794,0.0737685153818229,0.012062820526202363
K562,AASDHPPT,6642,0.05683944719816216,0.13741929657853522,6642,0.1157270827805746,nan,0.1363311293299959,0.08394294883560259,0.1592385947586986,0.08216567940713633,0.1159475644338424,0.08216567940713633,0.1152625257447563,0.08216567899043174,0.16078496572923104,0.040380849035545716
K562,AATF,6642,0.1881190487978136,0.31797526658487846,6641,0.07014967748271211,nan,0.1056308119465081,-0.05275082228629948,0.20185681084956408,0.24545185082956109,0.06780830158241924,0.24545185082956109,0.08082385391363917,0.24545185058865845,0.18542721600422016,0.08983109701442889
K562,ABCB10,6642,0.21679083189889858,0.3311706430170963,6642,0.11663292073944061,nan,0.12517939716387572,0.18454249906084463,0.275482829393967,0.1821899362785422,0.1156971169160883,0.1821899362785422,0.13844192267970448,0.18218993592728444,0.2107104131932214,0.12740306307846844
K562,ABCB7,6642,0.10878131627169653,0.25150567253937745,6642,0.03380266204135367,nan,0.06379010622484846,0.009425009808458486,0.13069559498854103,0.09802575426055139,0.03762939850478414,0.09802575426055139,0.03677192785309806,0.09802575491175616,0.08127969236723749,-0.022051188954752863
K562,ABCE1,6642,0.26935595403172463,0.28350191540495423,6641,0.0892525615200568,nan,0.10742092134620866,0.11889124569993985,0.18096025988525954,0.5727842068788174,0.06168282861386424,0.5727842068788174,0.0869130550103106,0.5727842062768129,0.167946355159527,-0.04423734940338167
K562,ABCF1,6642,0.05224496712539637,0.05950149260950777,6642,0.02548146350999899,nan,0.05005668489878064,0.10777640913578174,0.05746772480942138,0.2776177873958972,0.023682097497691495,0.2776177873958972,0.03302045028057181,0.27761778765343,0.13883722181162508,0.07522596941340277
K562,ABCG1,6642,0.03009637804842381,0.06436175410197098,6642,0.0404888259347221,nan,0.07523119508755281,-0.05893910155634208,0.06295577177729114,0.10927920181242234,0.04046249151072241,0.10927920181242234,0.040779726489055486,0.1092792014449424,0.0777966715778546,0.05457234543411653
K562,ABHD11,6641,0.0556424726489196,0.12800308177770972,6641,0.13021133545327584,nan,0.14720369588713772,0.10763846776022074,0.16953870394058446,0.09583678744242624,0.12961021396073907,0.09583678744242624,0.1294285554228597,0.0958367882214602,0.26850233355096537,0.040627840330581255
K562,ABHD17A,6642,0.022491027064434788,0.06228078264693875,6642,0.05678862795655555,nan,0.0865441152986878,0.010054016404877712,0.07732841086882128,0.02729897050463441,0.05770650612540735,0.02729897050463441,0.05677156885373378,0.027298970489545674,0.24223087313806793,-0.011245902631706491
K562,ABT1,6642,0.12534253027993603,0.24946147309382888,6642,0.07150016836352982,nan,0.11471323524616234,-0.13490906081652085,0.17946418854148954,0.09178670804149737,0.07498944889994606,0.09178670804149737,0.07967669287204901,0.09178670793010658,0.3688096570483389,-0.1327838908239518
K562,ACD,6642,0.09328914090120935,0.22524079147693252,6641,0.07052201862609483,nan,0.09421737138862572,0.07425616898044145,0.14845738797191457,0.09846949146076628,0.07238701788955965,0.09846949146076628,0.0709166439822362,0.0984694916945275,0.11087077602718695,0.03144357517952377
K562,ACIN1,6642,0.016764978521360777,0.04248598586420281,6642,0.027816304992661613,nan,0.0537846286984735,0.07927658051238291,0.04182451275114485,0.063829204398582,0.028174923468462718,0.063829204398582,0.02779242746183244,0.06382920447581734,0.13162871244312288,0.07235249596508879
K562,ACOT12,6642,0.01488794236573133,0.03928731989220999,6642,0.0310064973289941,nan,0.060917678699844616,0.011078869399102714,0.042593939810277884,0.07680792530218769,0.03111186875276679,0.07680792530218769,0.030824928661536688,0.07680792545256107,0.16010395417350842,-0.02096025317115357
K562,ACTB,6642,0.032347588550000396,0.08969944895314463,6642,0.03800009547707315,nan,0.06752723844540048,0.01563925417092861,0.05814420652284122,0.17403648677426378,0.03697095040109077,0.17403648677426378,0.037261872140112985,0.17403648754419213,0.08694766231385638,-0.009781835892014102
K562,ACTL6A,6641,0.22210442266090613,0.5113219223298422,6554,0.1809674252571971,nan,0.18950397821857332,0.1482358379657565,0.3331214120428908,0.18736182355155362,0.17619505136806937,0.18736182355155362,0.1746492622526627,0.18736182290147357,0.29008504648695005,0.09094026469911139
K562,ACTR10,6642,0.1309848537325352,0.3314805590785335,6640,0.05081547652127818,nan,0.07888601136818853,0.031995538776689786,0.16873603544158625,0.07987037116351672,0.055742250513685934,0.07987037116351672,0.05186252733842482,0.07987037192751212,0.08269189828739744,0.016873426988569133
K562,ACTR1A,6642,0.02343096205339114,0.07153463523082872,6642,0.039400944289357975,nan,0.07114858039039386,-0.01661923062827165,0.06026996019850143,0.04215912794247797,0.040224892888524835,0.04215912794247797,0.039400944289357975,nan,0.08816027633603181,0.04108117130496632
K562,ACTR1B,6642,0.02830320734734209,0.06912796454856249,6642,0.026112775630776613,nan,0.05806111402372842,-0.023964876288934452,0.04745620150230567,0.12800332517522148,0.026141780760330458,0.12800332517522148,0.025796337659516687,0.12800332383363694,0.14703628393329618,-0.007021906366687638
K562,ACTR2,6642,0.06229513968245625,0.14349929585971394,6642,0.02452908815606855,nan,0.05511311443621652,0.0001752110712104315,0.07899950780573957,0.10008546952705719,0.026466354366967582,0.10008546952705719,0.026069936409606094,0.10008547059268913,0.217058943560761,-0.017419840099910214
K562,ACTR3,6642,0.1186545999596347,0.33246645026368077,6642,0.046709774060949824,nan,0.08347321301613256,-0.08160610712665241,0.16793553541339656,-0.017268441562854422,0.05476847687983728,-0.017268441562854422,0.04729703802290843,-0.017268441689764075,0.12075548287632254,-0.03703037375001826
K562,ACTR6,6642,0.1137243557794196,0.1392179749000437,6642,0.1175038151954155,nan,0.12730893333388457,0.1733611816671702,0.1178854907254141,0.49024227276131876,0.09627591727913441,0.49024227276131876,0.09025753622271052,0.49024227266338266,0.254275055008387,-0.09819685143811145
K562,ACTR8,6642,0.06085771456662472,0.08828969932607267,6642,0.0564093304128367,nan,0.08927290633689963,-0.027320923771344152,0.07158370879095494,0.3898472945394456,0.048792103532333674,0.3898472945394456,0.049046995349515864,0.3898472942506945,0.09480518659250692,-0.027715178567297695
K562,ADAT2,6642,0.04467272004028947,0.11562686224908496,6642,0.06778292984563107,nan,0.08713398169643861,0.12344119357337327,0.1020852167189047,0.09422920821050473,0.06798236651962487,0.09422920821050473,0.06719889503738222,0.09422920796291044,0.22902519789110073,0.1228490045153607
